,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,brand,model
0,1003000,86226,Diesel,Man,1,2017,1956,5,Jeep,Compass 2.0
1,1283000,13248,Petrol,Auto,1,2021,1330,5,Renault,Duster RXZ
2,1640000,60343,Petrol,Auto,1,2016,2494,5,Toyota,Camry 2.5
3,777000,26696,Petrol,Auto,1,2018,1199,5,Honda,Jazz VX
4,515000,69414,Petrol,Man,1,2016,1199,5,Volkswagen,Polo 1.2
5,766000,49719,Petrol,Auto,1,2017,1197,5,Volkswagen,Vento 1.2
6,758000,43688,Petrol,Auto,1,2017,1197,5,Volkswagen,Vento 1.2
7,1160000,14470,Diesel,Man,1,2021,1498,5,Honda,WR-V VX
8,699000,21429,Petrol,Auto,1,2015,1497,5,Honda,City i
9,753000,31750,Petrol,Auto,1,2017,1498,5,Renault,Duster Petrol
10,643000,38203,Petrol,Man,1,2017,1197,5,Maruti,Baleno 1.2
11,543000,110284,Petrol,Auto,1,2014,1497,5,Honda,City i
12,862000,10381,Petrol,Man,1,2020,1197,5,Mahindra,XUV300 W6
13,1678000,32378,Petrol,Auto,1,2019,1368,5,Jeep,Compass 1.4
14,1003000,38906,Petrol,Man,1,2020,1498,5,Honda,City V
15,563000,59313,Petrol,Auto,2,2016,1197,5,Hyundai,Grand i10
16,667000,85672,Diesel,Man,1,2017,1396,5,Hyundai,i20 1.4
17,673000,34971,Petrol,Man,2,2017,1373,5,Maruti,Ciaz 1.4
18,321000,35894,Petrol,Man,2,2015,1198,5,Nissan,Micra XL
19,850000,56000,Petrol,Auto,1,2019,1462,5,Maruti,Ciaz Alpha
20,434000,56568,Petrol,Man,1,2014,1197,5,Maruti,Swift Dzire
21,311000,48872,Petrol,Man,1,2017,799,5,Renault,KWID RXT
22,370000,17346,Petrol,Man,1,2019,799,5,Renault,KWID RXL
23,1588000,15414,Diesel,Man,1,2019,1956,5,Jeep,Compass 2.0
24,541000,21239,Petrol,Man,1,2018,1197,5,Hyundai,Grand i10
25,223000,62361,Petrol,Man,1,2014,998,5,Maruti,Alto K10
26,588000,79329,Petrol,Man,2,2015,1591,5,Hyundai,Verna 1.6
27,2278000,11945,Petrol,Auto,1,2021,1999,5,Hyundai,Tucson GLS
28,612000,51324,Petrol,Man,1,2018,1197,5,Maruti,Swift Dzire
29,744000,5717,Petrol,Man,1,2021,999,5,Nissan,Magnite XV
30,839000,46417,Petrol,Auto,1,2016,1497,5,Honda,City i
31,420000,100161,Petrol,Man,1,2015,1198,5,Honda,Amaze S
32,491000,35424,Petrol,Man,1,2016,1197,5,Hyundai,Grand i10
33,293000,51085,Petrol,Man,1,2017,814,5,Hyundai,EON Era
34,298000,30983,Petrol,Man,1,2016,796,5,Maruti,Alto 800
35,260000,32681,Petrol,Man,1,2016,799,5,Renault,KWID RXL
36,238000,57581,Petrol,Man,2,2014,814,5,Hyundai,EON Magna
37,605000,39821,Petrol,Auto,1,2016,1199,5,Honda,Jazz 1.2
38,323000,21186,Petrol,Man,1,2018,796,5,Maruti,Alto 800
39,326000,34972,Petrol,Man,1,2018,799,5,Renault,KWID RXL
40,421000,46623,Petrol,Man,2,2015,1198,5,Honda,Amaze S
41,1553000,18557,Petrol,Man,1,2019,1353,5,Kia,Seltos GTX
42,1243000,58463,Diesel,Man,1,2017,1956,5,Jeep,Compass 2.0
43,1850000,5000,Petrol,Auto,1,2020,1451,6,MG,Hector Plus
44,1590000,66000,Diesel,Man,1,2019,1956,5,Tata,Harrier XZ
45,890000,14000,Petrol,Auto,1,2019,1498,5,Renault,Duster Petrol
46,4300000,61000,Diesel,Auto,1,2019,1995,5,BMW,5 Series
47,600000,65392,Diesel,Man,1,2017,1396,5,Hyundai,i20 1.4
48,2700000,37000,Petrol,Auto,1,2018,1991,5,Mercedes-Benz,CLA 200
49,1090000,9000,Petrol,Man,1,2020,1462,6,Maruti,XL6 Zeta
50,590000,32000,Petrol,Auto,1,2017,1197,5,Hyundai,Grand i10
51,650000,68000,Diesel,Man,1,2012,2179,7,Mahindra,XUV500 W8
52,675000,13000,Petrol,Man,1,2017,1197,5,Hyundai,i20 Magna
53,370000,30000,Petrol,Auto,1,2020,999,5,Datsun,RediGO AMT
54,525000,34300,Petrol,Auto,1,2015,1198,5,Honda,Brio VX
55,725000,45000,Petrol,Auto,1,2015,1497,5,Honda,City i
56,850000,37000,Petrol,Man,1,2014,1798,5,Toyota,Corolla Altis
57,1400000,50000,Petrol,Man,1,2018,1368,5,Jeep,Compass 1.4
58,1500000,105241,Diesel,Auto,1,2015,1985,5,Volvo,XC60 D4
59,1390000,54000,Petrol,Man,1,2019,1798,5,Toyota,Corolla Altis
60,890000,19600,Petrol,Man,1,2019,1591,5,Hyundai,Verna VTVT
61,1690000,48000,Diesel,Auto,1,2015,1968,5,Audi,A4 2.0
62,1390000,69500,Diesel,Auto,1,2012,1968,5,Audi,Q3 2.0
63,1500000,71000,Diesel,Auto,2,2012,2993,5,BMW,5 Series
64,4500000,48894,Diesel,Auto,1,2014,4134,5,Porsche,Cayenne S
65,153000,46257,Petrol,Man,3,2008,998,5,Maruti,A-Star Zxi
66,509000,78264,Diesel,Man,2,2015,1498,5,Ford,Ecosport 1.5
67,546000,42451,Petrol,Auto,1,2016,1199,5,Honda,Jazz 1.2
68,273000,131861,Diesel,Man,2,2012,1598,5,Volkswagen,Vento Diesel
69,180000,128004,Petrol,Man,2,2012,998,5,Maruti,Wagon R
70,110000,150349,Diesel,Man,1,2012,936,5,Chevrolet,Beat Diesel
71,369000,29033,Petrol,Man,1,2017,998,5,Maruti,Wagon R
72,1350000,99000,Diesel,Auto,1,2015,1995,5,BMW,3 Series
73,275000,47000,Petrol,Man,1,2018,799,5,Renault,KWID RXL
74,550000,35000,Diesel,Man,1,2018,1248,5,Maruti,Baleno 1.3
75,975000,58000,Diesel,Auto,1,2013,2143,5,Mercedes-Benz,C-Class C
76,400000,48000,Petrol,Man,1,2012,1497,5,Honda,City S
77,475000,45000,Petrol,Auto,1,2014,1198,5,Honda,Amaze VX
78,190000,60000,Petrol,Man,2,2012,814,5,Hyundai,EON D
79,465000,23000,Petrol,Man,1,2014,1197,5,Hyundai,i20 Magna
80,460000,45000,Petrol,Man,1,2019,1197,5,Hyundai,Grand i10
81,325000,45000,Petrol,Man,1,2014,1086,5,Hyundai,i10 Magna
82,525000,58000,Diesel,Man,1,2013,1248,7,Maruti,Ertiga VDI
